t              nodalLine_nextTo_Loop_Port2.fdtd_Bulk probe_port2_Jz_24_39_80__25_40_80.dat
   0.10322466048161977E-009   0.704440524E-007
   0.10476532705597230E-009   0.720591018E-007
   0.10630599363032484E-009   0.736941459E-007
   0.10784666020467737E-009   0.753256018E-007
   0.10938732677902990E-009   0.769574342E-007
   0.11092799335338244E-009   0.786287018E-007
   0.11246865992773497E-009   0.803873590E-007
   0.11400932650208750E-009   0.822409945E-007
   0.11554999307644004E-009   0.841395931E-007
   0.11709065965079257E-009   0.860220410E-007
   0.11863132622514511E-009   0.878804229E-007
   0.12017199279949764E-009   0.897681502E-007
   0.12171265937385017E-009   0.917438854E-007
   0.12325332594820271E-009   0.938173770E-007
   0.12479399252255524E-009   0.959517052E-007
   0.12633465909690778E-009   0.981051045E-007
   0.12787532567126031E-009   0.100261857E-006
   0.12941599224561284E-009   0.102434313E-006
   0.13095665881996538E-009   0.104651917E-006
   0.13249732539431791E-009   0.106946601E-006
   0.13403799196867044E-009   0.109331815E-006
   0.13557865854302298E-009   0.111786534E-006
   0.13711932511737551E-009   0.114269127E-006
   0.13865999169172805E-009   0.116757796E-006
   0.14020065826608058E-009   0.119276280E-006
   0.14174132484043311E-009   0.121872944E-006
   0.14328199141478565E-009   0.124574257E-006
   0.14482265798913818E-009   0.127361886E-006
   0.14636332456349072E-009   0.130193470E-006
   0.14790399113784325E-009   0.133041624E-006
   0.14944465771219578E-009   0.135915741E-006
   0.15098532428654832E-009   0.138853608E-006
   0.15252599086090085E-009   0.141892443E-006
   0.15406665743525338E-009   0.145038982E-006
   0.15560732400960592E-009   0.148261961E-006
   0.15714799058395845E-009   0.151518122E-006
   0.15868865715831099E-009   0.154792531E-006
   0.16022932373266352E-009   0.158113949E-006
   0.16176999030701605E-009   0.161527794E-006
   0.16331065688136859E-009   0.165055610E-006
   0.16485132345572112E-009   0.168681908E-006
   0.16639199003007366E-009   0.172375593E-006
   0.16793265660442619E-009   0.176117226E-006
   0.16947332317877872E-009   0.179909279E-006
   0.17101398975313126E-009   0.183771704E-006
   0.17255465632748379E-009   0.187731558E-006
   0.17409532290183632E-009   0.191806748E-006
   0.17563598947618886E-009   0.195989770E-006
   0.17717665605054139E-009   0.200251094E-006
   0.17871732262489393E-009   0.204568067E-006
   0.18025798919924646E-009   0.208951889E-006
   0.18179865577359899E-009   0.213439392E-006
   0.18333932234795153E-009   0.218056954E-006
   0.18487998892230406E-009   0.222797837E-006
   0.18642065549665660E-009   0.227635326E-006
   0.18796132207100913E-009   0.232550590E-006
   0.18950198864536166E-009   0.237543645E-006
   0.19104265521971420E-009   0.242626584E-006
   0.19258332179406673E-009   0.247815478E-006
   0.19412398836841926E-009   0.253125819E-006
   0.19566465494277180E-009   0.258563972E-006
   0.19720532151712433E-009   0.264120189E-006
   0.19874598809147687E-009   0.269778241E-006
   0.20028665466582940E-009   0.275537360E-006
   0.20182732124018193E-009   0.281418579E-006
   0.20336798781453447E-009   0.287443982E-006
   0.20490865438888700E-009   0.293612800E-006
   0.20644932096323954E-009   0.299904315E-006
   0.20798998753759207E-009   0.306301843E-006
   0.20953065411194460E-009   0.312808226E-006
   0.21107132068629714E-009   0.319440204E-006
   0.21261198726064967E-009   0.326216252E-006
   0.21415265383500220E-009   0.333150865E-006
   0.21569332040935474E-009   0.340251376E-006
   0.21723398698370727E-009   0.347511730E-006
   0.21877465355805981E-009   0.354914732E-006
   0.22031532013241234E-009   0.362447565E-006
   0.22185598670676487E-009   0.370115913E-006
   0.22339665328111741E-009   0.377938107E-006
   0.22493731985546994E-009   0.385926597E-006
   0.22647798642982248E-009   0.394080928E-006
   0.22801865300417501E-009   0.402399309E-006
   0.22955931957852754E-009   0.410889925E-006
   0.23109998615288008E-009   0.419565083E-006
   0.23264065272723261E-009   0.428428990E-006
   0.23418131930158514E-009   0.437475478E-006
   0.23572198587593768E-009   0.446696447E-006
   0.23726265245029021E-009   0.456088230E-006
   0.23880331902464275E-009   0.465653784E-006
   0.24034398559899528E-009   0.475404988E-006
   0.24188465217334781E-009   0.485363842E-006
   0.24342531874770035E-009   0.495552285E-006
   0.24496598532205288E-009   0.505975493E-006
   0.24650665189640542E-009   0.516615955E-006
   0.24804731847075795E-009   0.527450311E-006
   0.24958798504511048E-009   0.538472079E-006
   0.25112865161946302E-009   0.549697006E-006
   0.25266931819381555E-009   0.561151126E-006
   0.25420998476816808E-009   0.572855072E-006
   0.25575065134252062E-009   0.584818224E-006
   0.25729131791687315E-009   0.597037683E-006
   0.25883198449122569E-009   0.609501569E-006
   0.26037265106557822E-009   0.622198286E-006
   0.26191331763993075E-009   0.635128231E-006
   0.26345398421428329E-009   0.648307264E-006
   0.26499465078863582E-009   0.661756303E-006
   0.26653531736298836E-009   0.675488025E-006
   0.26807598393734089E-009   0.689504986E-006
   0.26961665051169342E-009   0.703807018E-006
   0.27115731708604596E-009   0.718395825E-006
   0.27269798366039849E-009   0.733272486E-006
