time	I(R1)
5.102551275637820e-05	9.243752e-08
5.166657738642939e-05	8.260979e-08
5.188597320645165e-05	7.679337e-08
5.210536902647391e-05	7.117596e-08
5.232476484649617e-05	6.575758e-08
5.254416066651844e-05	6.053821e-08
5.276355648654070e-05	5.551786e-08
5.298295230656296e-05	5.069653e-08
5.320234812658522e-05	4.607422e-08
5.343679461986108e-05	4.330115e-08
5.402701350675338e-05	4.314948e-08
5.430834929868441e-05	4.675989e-08
5.468346368792580e-05	5.460711e-08
5.620806891383937e-05	1.004338e-07
5.644814212295385e-05	1.057463e-07
5.702851425712856e-05	1.123773e-07
5.731660210806595e-05	1.119934e-07
5.770071924264912e-05	1.082545e-07
5.795200591485808e-05	1.028819e-07
5.820329258706705e-05	9.746559e-08
5.845457925927601e-05	9.200546e-08
5.870586593148497e-05	8.650153e-08
5.895715260369393e-05	8.095380e-08
5.920843927590289e-05	7.536227e-08
5.945972594811185e-05	6.972694e-08
6.003001500750376e-05	6.473210e-08
6.032501696686363e-05	6.567981e-08
6.071835291267681e-05	7.053096e-08
6.126651682511673e-05	8.328610e-08
6.153295239051311e-05	9.229185e-08
6.179938795590950e-05	1.005660e-07
6.206582352130589e-05	1.081086e-07
6.233225908670229e-05	1.149195e-07
6.259869465209867e-05	1.209988e-07
6.286513021749506e-05	1.263466e-07
6.313156578289145e-05	1.309627e-07
6.373186593296649e-05	1.322041e-07
6.427213606803402e-05	1.254037e-07
6.453512470520975e-05	1.191033e-07
6.479811334238548e-05	1.132011e-07
6.506110197956121e-05	1.076971e-07
6.532409061673695e-05	1.025913e-07
6.558707925391267e-05	9.788375e-08
6.585006789108841e-05	9.357435e-08
6.611305652826413e-05	8.966314e-08
6.659329664832411e-05	8.892972e-08
6.722561280640320e-05	9.705603e-08
6.903451725862932e-05	1.455887e-07
6.948274137068637e-05	1.524396e-07
7.011505752876005e-05	1.534520e-07
7.059529764879401e-05	1.479351e-07
7.083541770887307e-05	1.428407e-07
7.107553776895212e-05	1.378991e-07
7.131565782903119e-05	1.331103e-07
7.155577788911024e-05	1.284743e-07
7.179589794918930e-05	1.239911e-07
7.203601800926835e-05	1.196608e-07
7.227613806934742e-05	1.154832e-07
7.259629814980460e-05	1.130151e-07
7.322861430740389e-05	1.154828e-07
7.399699850050114e-05	1.306208e-07
7.428857285893023e-05	1.400496e-07
7.458014721735931e-05	1.484874e-07
7.487172157578840e-05	1.559342e-07
7.516329593421749e-05	1.623900e-07
7.545487029264658e-05	1.678547e-07
7.574644465107566e-05	1.723284e-07
7.603801900950475e-05	1.758112e-07
7.659829957007804e-05	1.745761e-07
7.723061545182637e-05	1.654204e-07
7.751647215124588e-05	1.585516e-07
7.780232885066538e-05	1.526312e-07
7.808818555008489e-05	1.476592e-07
7.837404224950440e-05	1.436357e-07
7.865989894892391e-05	1.405606e-07
7.894575564834340e-05	1.384339e-07
7.923161234776291e-05	1.372557e-07
7.948773579827353e-05	1.388529e-07
8.012009463142550e-05	1.489511e-07
8.040582826928092e-05	1.571154e-07
8.069156190713633e-05	1.647784e-07
8.097729554499175e-05	1.719402e-07
8.126302918284716e-05	1.786008e-07
8.154876282070259e-05	1.847602e-07
8.183449645855800e-05	1.904184e-07
8.212023009641342e-05	1.955753e-07
8.259548761336318e-05	1.982093e-07
8.323162376716011e-05	1.936368e-07
8.352459898592479e-05	1.878293e-07
8.381757420468948e-05	1.824304e-07
8.411054942345417e-05	1.774403e-07
8.440352464221884e-05	1.728588e-07
8.469649986098353e-05	1.686859e-07
8.498947507974821e-05	1.649218e-07
8.528245029851290e-05	1.615662e-07
8.560235568235633e-05	1.615113e-07
8.623496474106145e-05	1.681171e-07
8.652136773294702e-05	1.748676e-07
8.680777072483259e-05	1.815615e-07
8.709417371671815e-05	1.881989e-07
8.738057670860373e-05	1.947798e-07
8.766697970048930e-05	2.013041e-07
8.795338269237486e-05	2.077718e-07
8.823978568426043e-05	2.141830e-07
8.902284037728011e-05	2.196533e-07
8.931972437824551e-05	2.169583e-07
8.961660837921090e-05	2.137295e-07
8.991349238017631e-05	2.099670e-07
9.021037638114171e-05	2.056709e-07
9.050726038210712e-05	2.008410e-07
9.080414438307251e-05	1.954774e-07
9.110102838403791e-05	1.895802e-07
9.143406211998111e-05	1.859594e-07
9.213483200775728e-05	1.857286e-07
9.266768598526642e-05	1.925038e-07
9.444488781496271e-05	2.327731e-07
9.513846417404250e-05	2.399607e-07
9.568410664701185e-05	2.386440e-07
9.593722531295513e-05	2.353106e-07
9.619034397889842e-05	2.317824e-07
9.644346264484171e-05	2.280596e-07
9.669658131078500e-05	2.241420e-07
9.694969997672828e-05	2.200298e-07
9.720281864267158e-05	2.157228e-07
9.745593730861486e-05	2.112212e-07
9.814214749430955e-05	2.065238e-07
9.870088538663017e-05	2.096013e-07
9.895321832741238e-05	2.136998e-07
9.920555126819460e-05	2.181729e-07
9.945788420897681e-05	2.230206e-07
9.971021714975901e-05	2.282429e-07
9.996255009054122e-05	2.338398e-07
1.002148830313234e-04	2.398113e-07
1.004672159721056e-04	2.461574e-07
1.011458831962540e-04	2.567315e-07
1.017180307979903e-04	2.590902e-07
1.019695591562076e-04	2.573700e-07
1.022210875144249e-04	2.551133e-07
1.024726158726421e-04	2.523200e-07
1.027241442308594e-04	2.489902e-07
1.029756725890767e-04	2.451238e-07
1.032272009472940e-04	2.407209e-07
1.034787293055112e-04	2.357815e-07
1.038732690960658e-04	2.304247e-07
1.042678088866205e-04	2.275960e-07
1.046623486771751e-04	2.272954e-07
1.050568884677297e-04	2.295228e-07
1.054514282582843e-04	2.342784e-07
1.058459680488390e-04	2.415620e-07
1.062405078393936e-04	2.513737e-07
1.067065042402728e-04	2.622442e-07
1.071725006411521e-04	2.698246e-07
1.076384970420314e-04	2.741148e-07
1.081044934429106e-04	2.751150e-07
1.085704898437899e-04	2.728249e-07
1.090364862446691e-04	2.672448e-07
1.095024826455484e-04	2.583745e-07
1.099795588531807e-04	2.507525e-07
1.104566350608130e-04	2.463349e-07
1.109337112684454e-04	2.451216e-07
1.114107874760777e-04	2.471127e-07
1.118878636837101e-04	2.523081e-07
1.123649398913424e-04	2.607079e-07
1.128420160989747e-04	2.723120e-07
1.132734967367482e-04	2.805458e-07
1.137049773745217e-04	2.860374e-07
1.141364580122952e-04	2.887869e-07
1.145679386500687e-04	2.887943e-07
1.149994192878422e-04	2.860595e-07
1.154308999256157e-04	2.805826e-07
1.158623805633892e-04	2.723636e-07
1.163316749177691e-04	2.648478e-07
1.168009692721490e-04	2.603605e-07
1.172702636265289e-04	2.589017e-07
1.177395579809089e-04	2.604714e-07
1.182088523352888e-04	2.650696e-07
1.186781466896687e-04	2.726963e-07
1.191474410440487e-04	2.833515e-07
1.196022486041640e-04	2.914622e-07
1.200570561642794e-04	2.967390e-07
1.205118637243948e-04	2.991817e-07
1.209666712845101e-04	2.987905e-07
1.214214788446255e-04	2.955653e-07
1.218762864047408e-04	2.895062e-07
1.223310939648562e-04	2.806131e-07
1.227608057181656e-04	2.741358e-07
1.231905174714749e-04	2.701874e-07
1.236202292247843e-04	2.687680e-07
1.240499409780937e-04	2.698776e-07
1.244796527314030e-04	2.735161e-07
1.249093644847124e-04	2.796835e-07
1.253390762380218e-04	2.883799e-07
1.258227496521190e-04	2.969290e-07
1.263064230662163e-04	3.025018e-07
1.267900964803136e-04	3.050983e-07
1.272737698944108e-04	3.047183e-07
1.277574433085081e-04	3.013621e-07
1.282411167226054e-04	2.950294e-07
1.287247901367026e-04	2.857205e-07
1.291558414145986e-04	2.795431e-07
1.295868926924946e-04	2.757503e-07
1.300179439703906e-04	2.743421e-07
1.304489952482866e-04	2.753185e-07
1.308800465261825e-04	2.786795e-07
1.313110978040785e-04	2.844252e-07
1.317421490819745e-04	2.925554e-07
1.322285159570785e-04	2.999995e-07
1.327148828321825e-04	3.046134e-07
1.332012497072865e-04	3.063971e-07
1.336876165823904e-04	3.053507e-07
1.341739834574944e-04	3.014741e-07
1.346603503325984e-04	2.947673e-07
1.351467172077023e-04	2.852303e-07
1.355984939747861e-04	2.793643e-07
1.360502707418698e-04	2.758447e-07
1.365020475089536e-04	2.746716e-07
1.369538242760374e-04	2.758449e-07
1.374056010431211e-04	2.793647e-07
1.378573778102049e-04	2.852310e-07
1.383091545772886e-04	2.934438e-07
1.387676695490602e-04	2.986479e-07
1.392261845208319e-04	3.014627e-07
1.396846994926035e-04	3.018882e-07
1.401432144643752e-04	2.999242e-07
1.406017294361468e-04	2.955709e-07
1.410602444079185e-04	2.888282e-07
1.415187593796901e-04	2.796961e-07
1.419635532052005e-04	2.738776e-07
1.424083470307108e-04	2.702175e-07
