time	I(R1)
3.891429059990242e-04	3.960310e-05
3.911976063729799e-04	5.256039e-05
3.934895314751275e-04	6.529674e-05
3.961499322806847e-04	7.074029e-05
3.986903277229923e-04	6.422221e-05
4.000000000000000e-04	5.712745e-05
4.002673708449681e-04	5.511304e-05
4.008021125349041e-04	5.034309e-05
4.018715959147762e-04	3.689819e-05
4.033707247277451e-04	1.208962e-05
4.043406434867218e-04	-5.686048e-06
4.054712099987946e-04	-2.537702e-05
4.067677845422044e-04	-4.367271e-05
4.084872004421261e-04	-5.642173e-05
4.098106766183231e-04	-5.555834e-05
4.111671330785081e-04	-4.509452e-05
4.125931976704960e-04	-2.583215e-05
4.137914173262227e-04	-5.720861e-06
4.148436370399180e-04	1.254369e-05
4.158724802399768e-04	2.894166e-05
4.174094102080216e-04	4.704520e-05
4.188370267459110e-04	5.434553e-05
4.200905223933909e-04	5.201055e-05
4.213703933515853e-04	4.160838e-05
4.228871900808041e-04	2.134852e-05
4.239997321731753e-04	3.283304e-06
4.250848812764051e-04	-1.455393e-05
4.261757694697298e-04	-3.062294e-05
4.277665253879046e-04	-4.693134e-05
4.291515743520493e-04	-5.196805e-05
4.303949118155503e-04	-4.834595e-05
4.316544027952446e-04	-3.743902e-05
4.332523867986600e-04	-1.612262e-05
4.342256468755126e-04	-8.338200e-07
4.353411937287870e-04	1.648169e-05
4.364783725314391e-04	3.188691e-05
4.381389396434708e-04	4.644982e-05
4.394895732953209e-04	4.941212e-05
4.407295109245860e-04	4.451971e-05
4.419949079643276e-04	3.284998e-05
4.436722599927781e-04	1.051100e-05
4.446566059765828e-04	-4.354354e-06
4.458375217074781e-04	-2.128550e-05
4.471121060789985e-04	-3.606351e-05
4.488606553155000e-04	-4.660162e-05
4.501918819725625e-04	-4.566252e-05
4.515530283262836e-04	-3.677149e-05
4.529901060063609e-04	-2.057292e-05
4.541604031636946e-04	-4.308459e-06
4.552184938836420e-04	1.081854e-05
4.562606783335505e-04	2.443171e-05
4.578099178341379e-04	3.920678e-05
4.592248977205704e-04	4.486129e-05
4.604755592601309e-04	4.269428e-05
4.617505036153022e-04	3.394993e-05
4.632836914886199e-04	1.689850e-05
4.643700162013134e-04	2.304979e-06
4.654615389972400e-04	-1.246475e-05
4.665632412193570e-04	-2.575255e-05
4.681672948653391e-04	-3.903062e-05
4.695449360312445e-04	-4.285258e-05
4.707862685629771e-04	-3.961514e-05
4.720416589241095e-04	-3.044567e-05
4.736575661230191e-04	-1.250511e-05
4.746080913433330e-04	-1.605295e-07
4.757355006145715e-04	1.422305e-05
4.768862561712762e-04	2.693006e-05
